srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smean,dmean,trans_depth,response_body_len,sjit,djit,stime,ltime,sinpkt,dinpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label,attack_cat
175.45.176.3,0,149.171.126.19,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230389,1424230389,0.009,0.0,0.0,0.0,0.0,0,2,,, ,3,3,1,2,1,1,3,1,Exploits
175.45.176.3,16116,149.171.126.13,80,tcp,FIN,0.760913,920,268,254,252,2,1,http,8705.331055,2355.06543,10,6,255,255,3851262078,730453500,92,45,1,0,4562.123415,243.607734,1424225188,1424225188,82.162778,142.122797,0.135287,0.050285,0.085002,0,1,1.0,, ,1,1,1,1,1,1,1,1,Exploits
175.45.176.3,1043,149.171.126.15,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424244478,1424244478,0.003,0.0,0.0,0.0,0.0,0,2,,, ,29,29,22,22,22,22,29,1,Generic
175.45.176.0,0,149.171.126.17,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251684,1424251684,0.009,0.0,0.0,0.0,0.0,0,2,,, ,3,3,1,2,1,1,3,1,DoS
175.45.176.0,1043,149.171.126.10,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261650,1424261650,0.005,0.0,0.0,0.0,0.0,0,2,,, ,31,31,16,16,15,15,31,1,Generic
175.45.176.1,47439,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251696,1424251696,0.009,0.0,0.0,0.0,0.0,0,2,,, ,31,31,7,7,7,7,31,1,Generic
175.45.176.0,0,149.171.126.13,0,visa,INT,1e-06,200,0,254,0,0,0,-,800000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223206,1424223206,0.001,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,2,2,2,7,1, Reconnaissance 
175.45.176.1,1043,149.171.126.18,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238952,1424238952,0.005,0.0,0.0,0.0,0.0,0,2,,, ,33,33,28,28,28,17,33,1,Generic
175.45.176.1,47439,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239126,1424239126,0.009,0.0,0.0,0.0,0.0,0,2,,, ,25,25,10,10,10,6,25,1,Generic
175.45.176.1,47439,149.171.126.14,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252963,1424252963,0.005,0.0,0.0,0.0,0.0,0,2,,, ,31,31,28,28,28,15,31,1,Generic
175.45.176.2,1281,149.171.126.19,65030,tcp,FIN,0.736856,364,4678,62,252,1,3,ftp-data,3463.363281,45718.56641,8,10,255,255,1174103328,3537884564,46,468,0,0,7240.321108,6242.932877,1424250727,1424250728,105.265143,75.927111,0.097551,0.053206,0.044345,0,1,,, ,1,1,2,2,1,1,2,1,Exploits
